date,close,high,low,number_of_trades,open,volume
2021-04-07 14:39:00,56950.0,56987.85,56858.0,2304.0,56862.53,225.454
2021-04-07 14:40:00,56860.61,56950.01,56836.0,1893.0,56950.01,165.037
2021-04-07 14:41:00,56850.01,56886.1,56844.66,970.0,56860.61,52.654
2021-04-07 14:42:00,56876.51,56882.93,56830.0,1016.0,56850.0,64.052
2021-04-07 14:43:00,56844.19,56880.36,56830.73,881.0,56876.52,48.023
2021-04-07 14:44:00,56830.0,56862.71,56807.09,1418.0,56841.26,135.187
2021-04-07 14:45:00,56854.51,56884.53,56829.54,1231.0,56829.99,174.742
2021-04-07 14:46:00,56800.0,56864.27,56800.0,1172.0,56854.52,71.530
2021-04-07 14:47:00,56751.22,56809.61,56751.22,1766.0,56801.42,149.643
2021-04-07 14:48:00,56711.35,56797.2,56709.73,2101.0,56751.22,165.989
2021-04-07 14:49:00,56711.23,56744.51,56684.0,2225.0,56711.35,208.947
2021-04-07 14:50:00,56772.35,56797.2,56710.41,1747.0,56711.22,196.864
2021-04-07 14:51:00,56786.85,56798.75,56767.88,956.0,56772.35,71.945
2021-04-07 14:52:00,56812.85,56820.0,56782.28,1036.0,56786.85,83.493
2021-04-07 14:53:00,56696.24,56816.83,56690.0,1722.0,56812.92,161.032
2021-04-07 14:54:00,56711.66,56714.0,56648.74,2277.0,56698.3,227.500
2021-04-07 14:55:00,56763.89,56787.49,56709.93,1430.0,56709.93,113.436
2021-04-07 14:56:00,56787.31,56789.4,56742.16,1014.0,56763.89,84.630
2021-04-07 14:57:00,56717.63,56820.0,56717.63,1154.0,56787.31,89.448
2021-04-07 14:58:00,56653.11,56731.38,56650.0,1373.0,56716.41,111.177
2021-04-07 14:59:00,56713.82,56736.85,56653.12,1454.0,56653.12,163.133
2021-04-07 15:00:00,56804.07,56820.0,56700.4,1779.0,56713.83,164.824
2021-04-07 15:01:00,56829.98,56832.99,56804.07,1334.0,56804.08,123.985
2021-04-07 15:02:00,56848.97,56849.97,56808.0,1093.0,56829.99,82.873
2021-04-07 15:03:00,56868.22,56875.0,56816.42,1438.0,56849.98,157.070
2021-04-07 15:04:00,56813.99,56876.58,56810.0,1224.0,56868.23,97.349
2021-04-07 15:05:00,56847.74,56851.06,56763.03,1242.0,56813.99,78.966
2021-04-07 15:06:00,56863.21,56880.67,56826.79,1276.0,56847.73,93.174
2021-04-07 15:07:00,56855.11,56880.7,56843.08,882.0,56863.22,70.256
2021-04-07 15:08:00,56865.96,56865.97,56844.35,668.0,56857.06,42.708
2021-04-07 15:09:00,56839.19,56865.96,56809.17,838.0,56865.96,48.733
2021-04-07 15:10:00,56827.04,56840.5,56805.08,1060.0,56839.19,103.408
2021-04-07 15:11:00,56876.01,56878.02,56776.69,1330.0,56827.03,132.073
2021-04-07 15:12:00,56849.03,56878.0,56833.85,919.0,56876.0,89.767
2021-04-07 15:13:00,56873.94,56877.59,56770.0,1784.0,56849.03,343.993
2021-04-07 15:14:00,56888.01,56921.92,56853.2,2050.0,56873.04,213.787
2021-04-07 15:15:00,56843.53,56895.62,56820.95,1137.0,56888.01,73.596
2021-04-07 15:16:00,56845.0,56860.28,56829.13,791.0,56842.43,66.196
2021-04-07 15:17:00,56838.05,56870.93,56814.93,806.0,56844.99,72.271
2021-04-07 15:18:00,56816.87,56854.46,56810.0,818.0,56838.05,42.312
2021-04-07 15:19:00,56798.12,56822.4,56785.0,839.0,56816.88,58.801
2021-04-07 15:20:00,56866.36,56878.71,56792.0,919.0,56798.13,64.745
2021-04-07 15:21:00,56850.9,56885.72,56849.8,884.0,56867.29,62.575
2021-04-07 15:22:00,56795.93,56873.39,56795.93,835.0,56850.93,81.445
2021-04-07 15:23:00,56831.4,56842.19,56790.06,1019.0,56795.94,63.518
2021-04-07 15:24:00,56822.55,56899.99,56814.48,936.0,56831.39,71.469
2021-04-07 15:25:00,56770.3,56822.55,56760.0,1441.0,56822.54,138.742
2021-04-07 15:26:00,56758.2,56797.39,56752.0,912.0,56770.29,58.859
2021-04-07 15:27:00,56718.33,56767.87,56709.6,1739.0,56758.2,160.123
2021-04-07 15:28:00,56747.13,56778.4,56718.32,976.0,56718.33,64.926
2021-04-07 15:29:00,56705.72,56750.08,56693.0,1214.0,56750.08,95.346
2021-04-07 15:30:00,56650.79,56710.0,56650.0,2051.0,56705.73,154.360
2021-04-07 15:31:00,56704.83,56718.39,56650.0,1658.0,56650.53,154.960
2021-04-07 15:32:00,56757.24,56775.52,56704.6,1338.0,56704.61,103.786
2021-04-07 15:33:00,56678.56,56757.49,56673.99,1330.0,56756.09,133.221
2021-04-07 15:34:00,56578.0,56693.36,56555.82,3513.0,56680.49,453.111
2021-04-07 15:35:00,56651.31,56662.99,56568.02,1840.0,56578.01,130.118
2021-04-07 15:36:00,56529.95,56686.83,56526.25,2087.0,56651.31,155.669
2021-04-07 15:37:00,56591.15,56596.97,56501.0,2946.0,56526.26,241.532
2021-04-07 15:38:00,56476.53,56591.16,56430.0,4614.0,56591.15,429.038
2021-04-07 15:39:00,56420.91,56494.01,56401.29,3936.0,56476.99,436.803
2021-04-07 15:40:00,56349.07,56427.25,56339.91,5004.0,56422.46,481.958
2021-04-07 15:41:00,56457.74,56493.0,56349.07,3430.0,56349.07,326.762
2021-04-07 15:42:00,56472.0,56536.29,56458.21,2507.0,56458.21,284.883
2021-04-07 15:43:00,56517.8,56536.26,56448.43,2061.0,56472.0,193.467
2021-04-07 15:44:00,56485.34,56558.56,56470.0,2847.0,56517.81,401.345
2021-04-07 15:45:00,56572.49,56572.5,56479.16,1688.0,56485.35,155.268
2021-04-07 15:46:00,56515.6,56590.77,56504.14,1665.0,56572.49,186.491
2021-04-07 15:47:00,56557.88,56570.74,56510.06,1148.0,56515.6,85.676
2021-04-07 15:48:00,56504.46,56577.17,56500.0,1392.0,56559.25,128.764
2021-04-07 15:49:00,56410.43,56507.48,56403.11,2006.0,56506.21,171.559
2021-04-07 15:50:00,56367.47,56421.48,56350.0,2531.0,56410.41,193.912
